Starting bacterial monomers: 100
Starting EPS monomers: 1
Starting nutrients: 1
Starting bacteria: 20
Simulation width: 100
Simulation height: 100
Simulation duration: 30

Bacterium:0:Spawn:(65,40)
Bacterium:1:Spawn:(83,42)
Bacterium:2:Spawn:(94,76)
Bacterium:3:Spawn:(83,19)
Bacterium:4:Spawn:(82,72)
Bacterium:5:Spawn:(90,79)
Bacterium:6:Spawn:(74,40)
Bacterium:7:Spawn:(2,7)
Bacterium:8:Spawn:(39,82)
Bacterium:9:Spawn:(27,30)
Bacterium:10:Spawn:(67,57)
Bacterium:11:Spawn:(58,90)
Bacterium:12:Spawn:(86,16)
Bacterium:13:Spawn:(53,41)
Bacterium:14:Spawn:(37,3)
Bacterium:15:Spawn:(5,28)
Bacterium:16:Spawn:(58,76)
Bacterium:17:Spawn:(94,27)
Bacterium:18:Spawn:(78,18)
Bacterium:19:Spawn:(16,28)
Bacterium:10:Run:(67,57):(66,57)
Bacterium:14:Run:(37,3):(36,3)
Bacterium:19:Run:(16,28):(15,28)
Bacterium:13:Run:(53,41):(52,41)
Bacterium:5:Run:(90,79):(89,79)
Bacterium:1:Run:(83,42):(82,42)
Bacterium:18:Run:(78,18):(77,18)
Bacterium:11:Run:(58,90):(57,90)
Bacterium:16:Run:(58,76):(57,76)
Bacterium:2:Run:(94,76):(93,76)
Bacterium:12:Run:(86,16):(85,16)
Bacterium:17:Run:(94,27):(93,27)
Bacterium:0:Run:(65,40):(64,40)
Bacterium:8:Run:(39,82):(38,82)
Bacterium:6:Run:(74,40):(73,40)
Bacterium:7:Run:(2,7):(1,7)
Bacterium:15:Run:(5,28):(4,28)
Bacterium:3:Run:(83,19):(82,19)
Bacterium:9:Run:(27,30):(26,30)
Bacterium:4:Run:(82,72):(81,72)
*
Bacterium:4:Run:(81,72):(80,72)
Bacterium:15:Run:(4,28):(3,28)
Bacterium:19:Run:(15,28):(14,28)
Bacterium:2:Run:(93,76):(92,76)
Bacterium:10:Run:(66,57):(65,57)
